Nome,L oa,Cantiere
,,
Baby Boat,2.30,CNA
Optimi51,2.30,RIVA ERNESTO
Optimi51 - Follow 2,2.30,NAAIX
Optimi51 - Reqata,2.30,NAAIX
Optimi51 Club,2.30,WINNER
Optimi51 scuola,2.30,MURE A DRITTA
Optimist,2.30,NAUTIVELA
Optimist,2.30,SIBMA NAVALE ]TALIANA
Optimist MK Il,2.30,WINNER
Optimist reqata,2.30,FACCENDA
Optimlst MK 12,2.30,WINNER
Optimlst scuola,2.30,FACCENDA
Optimist,2.33,PHILEAS
Optimist,2.35,DEVOTI SAILING
Optimist,2.35,PAIARDI ANGELO
Q£timist,2.35,CADEI ROSA
Mariposa 260,2.60,MARIPOSA
"Tender 2,70",2.70,MONTISOLA di Archetti
Libellula,2.77,VERGAPLAST
Hunter 90,2.90,HUNTER MARINE
Taz,2.95,TOPPER INTERNATIONAL
Mariposa 310,3.10,MARIPOSA
Ufo X,3.10,UFO BOATS
Pipas,3.15,PHILEAS
Delfino 330,3.21,VERGAPLAST
,3.35,NAAIX
Topper,3.40,TOPPER INTERNATIONAL
Laser Pieo Plus,3.50,PERFORMANCE MARINE
Mariposa 360,3.60,MARIPOSA
"Mela Strip ,",3.60,CADEI ROSA
Zzap,3.60,NAUTIVELA
Byte,3.65,TOPPER INTERNATIONAL
Dinghy,3.65,MONTISOLA di Archetti
Dinghy,3.66,RIVA ERNESTO
Dinqhy 12,3.66,NAUTICA LODI
Dinqhy 12,3.66,LILLIA
Dinqhy 12i,3.66,PATRONE MORENO
Dinqhy 12i,3.66,COLOMBO LEOPOLDO & C
Delfino 380,3.72,VERGAPLAST
Topaz,3.86,TOPPER INTERNATIONAL
Funboat,3.90,PERFORMANCE MARINE
Magno,3.94,TOPPER INTERNATIONAL
Ciuki,4.00,SIBMA NAVALE ]TALIANA
Skipper,4.00,CNA
Flying Junior Iso,4.04,POLETTO LABO NAUTICO
Flying Junior Race,4.04,POLETTO LABO NAUTICO
Flying Junior Std,4.04,POLETTO LABO NAUTICO
Flyinq Junior,4.04,CNA
R 14,4.06,PAIARDI ANGELO
X 14,4.06,CNA
Vaurien 51andard,4.08,FACCENDA
Vaurien reqata,4.08,FACCENDA
Vaurien scuola,4.08,FACCENDA
Barca Scuola,4.18,CADEI ROSA
420,4.20,FACCENDA
420,4.20,NAUTIVELA
420,4.20,DEVOTI SAILING
Blaze,4.20,TOPPER INTERNATIONAL
Buzz,4.20,TOPPER INTERNATIONAL
"Vela 4,20",4.20,MONTISOLA
Laser,4.23,PERFORMANCE MARINE
Laser Vago,4.23,PERFORMANCE MARINE
Spiee,4.25,TOPPER INTERNATIONAL
C 14,4.27,CNA
Hunter 140,4.27,HUNTER MARINE
Wanderer,4.27,ANGIO MARINE SERVICES
Dedic,4.30,PHILEAS
Sonar,4.32,BARUFFALDI
Sonar,4.32,NAUTICA LODI
Phileas,4.35,PHILEAS
Delfino 440,4.44,VERGAPLAST
Laser 2000,4.44,PERFORMANCE MARINE
Sport 14,4.45,TOPPER INTERNATIONAL
Dinqhy 4.S0,4.50,COLOMBO LEOPOLDO & C
Finn,4.50,DEVOTI SAILING
Mu51o Skiff,4.50,DEVOTI SAILING
Vis,4.50,NAUTIVELA
Laser 4000,4.64,PERFORMANCE MARINE
Omeqa,4.64,TOPPER INTERNATIONAL
470,4.70,FACCENDA
470,4.70,NAUTIVELA
470,4.70,DEVOTI SAILING
Barca Scuola 2,4.70,CADEI ROSA
Snipe,4.72,BARUFFALDI
Snipe,4.72,FACCENDA
Snipe,4.72,LILLIA
Iso,4.74,TOPPER INTERNATIONAL
Jet,4.85,NAUTIVELA
Boss,4.90,TOPPER INTERNATIONAL
Fireball,4.93,BARUFFALDI
Laser 5tratos Keel,4.94,PERFORMANCE MARINE
Laser Stratos,4.94,PERFORMANCE MARINE
Sport 16,4.99,TOPPER INTERNATIONAL
5uelo,5.00,COLOMBO LEOPOLDO & C
Dingotto,5.00,MONTISOLA
Tridente 16,5.00,CNA
Noos 501,5.01,TEAM DIFFUSIONE VELA
Delfino 520,5.11,VERGAPLAST
Hunter 170,5.13,HUNTER MARINE
R 18 S,5.50,PAIARDI ANGELO
Eos,5.60,RIVA ERNESTO
ludie,5.60,PHILEAS
Violino 18,5.60,PAIARDI ANGELO
Fedro,5.64,RIVA ERNESTO
Dinqone 5.70,5.70,COLOMBO LEOPOLDO & C
Open 5.70,5.70,PHILEAS
595 Bravo,5.95,CADEI ROSA
Barca Scuola 3,6.00,CADEI ROSA
Dingotto 6,6.00,MONTISOLA
Laser SB 3,6.20,PERFORMANCE MARINE
Dingone 6.30,6.30,COLOMBO LEOPOLDO & C
Star,6.92,FOLLI
Star,6.92,LILLIA
Sampierota,7.00,CREA
Laser XD,,PERFORMANCE MARINE
Laser XD Colar,,PERFORMANCE MARINE
