Nome,L oa,Cantiere
,,
F 24,7.30,CORSAIR MARINE
F 24 MK Il,7.30,CORSAIR MARINE
Dragon!ly 800,8.00,QUORNING BOATS
F 27,8.25,CORSAIR MARINE
F 28,8.66,CORSAIR MARINE
Dragon!ly 920,9.20,QUORNING BOATS
F 31,9.40,CORSAIR MARINE
F 31R,9.40,CORSAIR MARINE
Mec 1000 Cabinato,9.90,ANDROMEDA
Mec 1000 Day,9.90,ANDROMEDA
Tris lO,9.98,MAGAZZY RESEARCH GROUP
Dragon!ly 1000,10.00,QUORNING BOATS
Mec 1000 Cata,10.00,ANDROMEDA
Seawind 1000,10.00,SEAWIND CATAMARANS
Prout,10.36,PROUT CATAMARANS
Prout,11.30,PROUT CATAMARANS
Prout,11.58,PROUT CATAMARANS
Athena 38,11.60,FOUNTAINE PAJOT
Lagoon380S2,11.60,LAGOON
Prout,11.90,PROUT CATAMARANS
F 36,11.95,CORSAIR MARINE
Privilege 395,11.95,ALLIAURA MARINE
Dragon!ly 1200,11.96,QUORNING BOATS
40i,12.00,OUTREMER
Bisso 12,12.00,COPLASS
Seawind 1200,12.00,SEAWIND CATAMARANS
Lagoon 410 52,12.37,LAGOON
Mec 1300 Cata3,12.93,ANDROMEDA
"Beii,e 43",13.00,FOUNTAINE PAJOT
Mec 1300 Day,13.00,ANDROMEDA
"Cat,na 431",13.10,CATAHA
Mec 1300 Cabinato,13.10,ANDROMEDA
privilege 435,13.13,AWAURAMARIHE
Lagoon 440,13.61,LAGOON
45i,13.70,OUTREMER
Prout,13.71,PROUT CATAMARANS
8ahia 46,14.00,FOUNTAINE PAJOT
Catana 471,14.30,CATAHA
Yapluka 47,14.30,YAPLUKA
Privilege 465,14.34,ALLIAURA MARINE
Prout,15.00,PROUT CATAMARANS
40; Std,15.10,OUTREMER
40i Light,15.10,OUTREMER
Mec 1500 Cata,15.20,ANDROMEDA
Mattia 511,15.50,MATTIA
Lagoon 500,15.54,LAGOON
Catana 521,15.80,CATANA
Yapluka 53,16.00,YAPLUKA
55i Light,16.10,OUTREMER
55i Std,16.10,OUTREMER
Mec 1600 Cata,16.30,ANDROMEDA
Mattia 56i,17.00,MATTIA
Lagoon 570,17.06,LAGOON
Catana 522,17.30,CATANA
Catana 581,17.70,CATANA
Privilege 585,17.82,ALLIAURA MARINE
Yapluka 60,18.00,YAPLUKA
Taiti 60,18.20,FOUNTAINE PAJOT
Eleuthera 60,18.28,FOUNTAINE PAJOT
Sunree! 60,18.30,SUNREEF YACHTS
Mec 1800 Cata,18.40,ANDROMEDA
Catana 582,19.00,CATANA
64;,19.50,OUTREMER
Catana 21 M,19.80,CATANA
Yapluka 70,21.30,YAPLUKA
SunreeO5,22.50,SUNREEF YACHTS
Taiti 75,22.80,FOUNTAINE PAJOT
Yapluka 80,24.40,YAPLUKA
