KL 10.5,3.07,NAVISTRAT KL
Catsy,3.10,HOBIE CAT
New Cat 12 Junior,3.50,NEW MARINE
KL Calibri 12,3.60,NAVISTRAT KL
Mari Cat 360,3.60,MARIPOSA
New Cat 12 Racinq,3.60,NEW MARINE
HC Dragoon,3.91,HOBIE CAT
Teddy,3.91,HOBIE CAT
Wave,3.98,HOBIE CAT
KL 13.5,4.15,NAVISTRAT KL
Gwynt 14,4.16,AVIOCONSUITING
New Cat F2,4.20,NEW MARINE
New Cat Fl,4.20,NEW MARINE
HC 14,4.25,HOBIE CAT
Dart 16,4.30,PERFORMANCE SAIICRAFT
Phantom 14,4.30,CNA
Twixxy,4.38,HOBIE CAT
Naera 450,4.50,NACRA
New Cat 15 Club,4.50,NEW MARINE
New Cat 15 Special,4.50,NEW MARINE
New Cat 16 5pecial,4.77,NEW MARINE
New Cat 16 Club,4.77,NEW MARINE
Naera 81ast Race,4.80,NACRA
Phantom 16,4.85,CNA
HC Max,4.90,HOBIE CAT
Mattia 16,4.90,MATTIA SPORT
Mattia Dedie,4.90,MATTIA SPORT
New Cat Swing,4.90,NEW MARINE
Top Cat K3,4.92,CATAMARAN SPORT ITALY
HC 15,4.94,HOBIE CAT
Bim 16,4.96,BIMARE
KL Booster,5.03,NAVISTRAT KL
KL Booster Sport,5.03,NA VISTRAT KL
HC 16,5.05,HOBIE CAT
Phantom Club,5.05,CNA
Getaway,5.07,HOBIE CAT
Top Cat K2,5.18,CATAMARAN SPORT ITALY
Naera Inter 17 sing,5.20,NACRA
HC FX One,5.25,HOBIE CAT
Phantom 18,5.45,CNA
Dart 18,5.48,PERFORMANCE SAIICRAFT
HC Pacifie,5.48,HOBIE CAT
MattiaS,5.48,MATTIA SPORT
Bim 18H.T.Doppio C,5.50,BIMARE
Javelin,5.50,BIMARE
Kl Warp,5.50,NAVISTRAT KL
Top Cat K 1,5.50,CATAMARAN SPORT ITALY
HC Tiger,5.51,HOBIE CAT
Mattia 5mile,5.51,MATTIA
Kl Phenix F18,5.52,NAVISTRAT KL
Mattia F18,5.52,MATTIA
Mattia S Sport,5.52,MATTIA
Naera F 18,5.52,NACRA
Naera 570,5.70,NACRA
HC Fax,6.10,HOBIE CAT
Magnum 21,6.30,VIRUS BOATS
Nacra Inter 20,,NACRA
